site,lon,lat
c_1,151.37,-2.9
c_2,28.78,-29.77
c_3,145.15,-5.91
c_4,-118.2,46.61
c_5,24.62,-27.62
c_6,136.91,-35.98
c_7,-88.01,39.51
c_8,-5.11,43.46
c_9,141.02,-38.05
c_10,22.16,-33.37
c_11,-3.45,43.25
c_12,21.22,-34.42
c_13,56.43,53.03
c_14,-87.17,38.72
c_15,33.98,44.8
c_16,18.45,-32.39
c_17,19.7,50.17
c_18,60.06,60.4
c_19,-8.67,39.53
c_20,106.99,23.6
c_21,80.22,6.65
c_22,41.89,9.57
c_23,13.48,46.13
c_24,-6.95,33.94
c_25,39.54,-6.36
c_26,-3.85,36.76
c_27,12.88,41.55
c_28,117.47,59.93
c_29,110.76,-8.08
c_30,111.81,46.21
c_31,115.05,-34.99
c_32,-58.7,-38.57
c_33,124.4,-15.8
c_34,-99.9,30.3
